Exome.sampleid	Exome.bamfile	Exome.bampath	Exome.bamfilename	Patient
TIIL_0165	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0165/alignment/TIIL_0165.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0165	TIIL_0165.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0166	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0166/alignment/TIIL_0166.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0166	TIIL_0166.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0167	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0167/alignment/TIIL_0167.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0167	TIIL_0167.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0168	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0168/alignment/TIIL_0168.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0168	TIIL_0168.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0190	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0190/alignment/TIIL_0190.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0190	TIIL_0190.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0260	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0260/alignment/TIIL_0260.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0260	TIIL_0260.bwamem.merged.rmdup.bam	HN23-10730
TIIL_0169	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0169/alignment/TIIL_0169.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0169	TIIL_0169.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0170	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0170/alignment/TIIL_0170.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0170	TIIL_0170.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0171	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0171/alignment/TIIL_0171.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0171	TIIL_0171.bwamem.merged.rmdup.bam	HN23-10752
TIIL_0172	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0172/alignment/TIIL_0172.bwamem.merged.rmdup.bam	/ix/jluke/Projects/sunny/TIIL-017-RoseProj/results/exome/PDO_sm61_samples_grch38/TIIL_0172	TIIL_0172.bwamem.merged.rmdup.bam	HN23-10752
